source,target,weight
five,minut,6
time,barco,4
made,attempt,4
attorney,welch,4
get,caught,4
look,like,6
barco,cell,4
one,murder,4
next,day,4
welch,wild,4
time,littl,4
would,provid,4
one,day,8
made,way,4
one,thing,4
littl,thing,4
seem,would,4
even,know,4
one,two,4
two,year,6
new,york,8
get,involv,4
right,thing,4
right,time,4
short,kneelength,4
kneelength,sock,4
one,could,4
say,zound,4
person,person,4
think,need,4
even,ask,4
well,even,4
letch,made,4
letch,feeley,6
postpon,postpon,4
keep,letch,4
get,home,4
order,keep,4
would,help,4
could,think,4
thing,done,6
one,look,4
time,thing,4
mr,mill,6
said,mr,4
stone,wall,10
pegboard,would,4
one,attach,6
attach,pegboard,6
pegboard,stone,6
mr,crombi,24
mr,crumb,4
seem,think,4
day,work,4
could,tell,4
mr,blatz,18
long,time,6
funni,thing,4
said,got,4
need,new,4
door,wont,4
long,enough,6
ambigu,use,4
said,think,4
writer,seem,4
one,speci,4
said,said,4
send,us,4
us,one,4
wont,send,4
said,interview,4
car,slack,4
long,ago,4
well,wit,4
seem,refer,4
one,said,10
someth,els,4
humor,comedi,12
made,us,4
year,ago,14
came,back,4
gener,burnsid,18
burnsid,hors,12
like,gener,4
arlen,said,8
know,someth,4
littl,lawn,4
said,arlen,4
one,children,4
littl,bit,4
told,us,4
could,told,4
mr,gorboduc,14
american,theatr,4
hot,coffe,4
shoe,rice,4
rice,china,4
next,time,4
haunt,footstep,4
