source,target,weight
could,get,6
get,back,8
thing,would,4
one,hand,5
would,go,6
man,could,5
never,seen,5
morgan,said,4
back,hous,3
go,town,3
girl,said,4
men,left,3
want,go,4
could,make,4
would,come,4
yard,away,3
one,side,3
could,see,23
look,back,4
would,never,5
got,get,3
get,away,5
come,along,4
would,make,3
see,face,3
could,hear,7
make,sure,3
want,see,3
go,back,3
go,home,3
three,four,3
look,like,5
one,thing,6
minut,later,6
one,day,4
one,anoth,4
head,back,4
time,time,3
look,around,9
back,town,3
right,hand,4
brannon,said,5
back,door,3
three,day,4
left,hand,3
think,would,3
man,said,4
make,dive,4
schaffner,said,4
said,tilghman,3
