full_name,date_of_birth,place_of_birth,gender,party
Айсина Майра Араповна,10.11.1956,Акмолинская область,ж,Нур Отан
Аманжолова Зауреш Джуманалиевна,15.03.1958,Тараз,ж,Нур Отан
Аронова Ирина Петровна,05.08.1957,Калининградская область (РФ),ж,Нур Отан
Ахметов Сапар Кайратович,27.10.1965,Северо-Казахстанская область,м,Нур Отан
Абдраим Бакытжан Жарылкасынович,13.05.1965,Жамбылская область,м,Нур Отан
Абдиров Нурлан Мажитович,12.01.1961,Карагандинская область,м,Нур Отан
Ашимбаев Маулен Сагатханулы,28.01.1971,Алма-Ата,м,Нур Отан
Базарбаев Аскар Ермурзаевич,13.11.1954,Алматинская область,м,Нур Отан
Балиева Загипа Яхяновна,03.10.1958,Алматинская область,ж,Нур Отан
Бектурганов Абдиманап Еликбаевич,28.08.1958,Туркестанская область,м,Нур Отан
Ерсултан Утегулович Бектурганов,21.06.1952,Узбекистан,м,Нур Отан
Бижанова Гульнара Кадиржановна,07.01.1969,Карагандинская область,ж,Нур Отан
Бопазов Марат Дарибекович,01.06.1963,Алматинская область,м,Нур Отан
Светлана Фёдоровна Бычкова,07.07.1957,Алма-Ата,ж,Нур Отан
Дауренбаев Амангелди Айдарович,31.07.1967,Алматинская область,м,Нур Отан
Дулатбеков Нурлан Орынбасарович,05.05.1962,Карагандинская область,м,Нур Отан
Дуйсебаев Жексенбай Картабаевич,25.02.1950,Акмолинская область,м,Нур Отан
Дьяченко Сергей Александрович,18.09.1952,Акмолинская область,м,Нур Отан
Ералиев Абзал Жумашович,28.03.1960,Кызылординская область,м,Нур Отан
Ержан Кудайберген Тулепович,07.11.1959,Узбекистан,м,Нур Отан
Ерман Мұхтар Тілдәбекұлы,05.09.1963,Туркестанская область,м,Нур Отан
Ертаев Бахытжан Ертаевич,25.07.1952,Жамбылская область,м,Нур Отан
Жабагиев Кожахан Кокрекбаевич,29.10.1960,Жамбылская область,м,Нур Отан
Жаилганова Анар Нуралиевна,10.07.1969,Восточно-Казахстанская область,ж,Нур Отан
Джакупов Кабибулла Кабенович,16.09.1949,Западно-Казахстанская область,м,Нур Отан
Жамалов Аманжан Макаримович,01.04.1960,Западно-Казахстанская область,м,Нур Отан
Джарасов Жанат Абдуллаевич,07.11.1951,Туркестанская область,м,Нур Отан
Жилкишиев Байдильда,01.01.1952,Туркестанская область,м,Нур Отан
Звольский Сергей Адамович ,22.06.1963,Акмолинская область,м,Нур Отан
Иксанова Гульнар Мустахимовна,24.04.1958,Туркестанская область,ж,Нур Отан
Имашева Снежанна Валерьевна,20.04.1981,Западно-Казахстанская область,ж,Нур Отан
Исимбаева Гульмира Истайбековна,23.08.1957,Жамбылская область,ж,Нур Отан
Казанцев Павел Олегович,22.03.1960,Томск (РФ),м,Нур Отан
Кесебаева Балаим Туғанбайқызы,23.04.1966,Туркестанская область,ж,Нур Отан
Клименко Иван Иванович,02.08.1970,Костанайская область,м,Нур Отан
Козлов Евгений Александрович,27.11.1960,Восточно-Казахстанская область,м,Нур Отан
Кайназаров Валихан Анарбайулы,01.01.1959,Узбекистан,м,Нур Отан
Каныбеков Сакен Асембекович,26.08.1966,Туркестанская область,м,Нур Отан
Каракен Куралай Ануаровна,06.06.1958,Актюбинская область,ж,Нур Отан
Карагусова Гульжана Джанпеисовна,09.09.1950,Алма-Ата,ж,Нур Отан
Каратаев Фахриддин Абдинабиевич,05.12.1963,Туркестанская область,м,Нур Отан
Кожахметов Арман Тулешович,09.10.1967,Карагандинская область,м,Нур Отан
Курманова Айзада Амангельдиновна,08.05.1970,Павлодарская область,ж,Нур Отан
Кусаинов Серик Досымханович,08.05.1964,Алматинская область,м,Нур Отан
Мамраев Бейбит Баймагамбетович,05.02.1957,Карагандинская область,м,Нур Отан
Махамбетов Мансурхан Махамбетович,24.03.1965,Туркестанская область,м,Нур Отан
Макен Бахтияр Макенулы,25.11.1981,Алма-Ата,м,Нур Отан
Мусин Канат Сергеевич,27.02.1966,Астана ,м,Нур Отан
Мұсырман Кәрібай Иманжанұлы,28.02.1957,Северо-Казахстанская область,м,Нур Отан
Нуркина Айгуль Кабдушевна,21.02.1966,Павлодарская область,ж,Нур Отан
Нурманбетова Джамиля Нусупжановна,22.02.1964,Алматинская область,ж,Нур Отан
Олейник Василий Иванович,03.03.1956,Молдавия ,м,Нур Отан
Омарбекова Жанат Ануарбековна,14.08.1961,Восточно-Казахстанская область,ж,Нур Отан
Омаров Сапархан Кесикбаевич,05.05.1968,Туркестанская область,м,Нур Отан
Оспанов Берик Серикович,29.01.1976,Алматинская область,м,Нур Отан
Оксикбаев Омархан Нуртаевич,22.12.1954,Алматинская область,м,Нур Отан
Утебаев Сакен Нуриевич,08.02.1966,Туркмения ,м,Нур Отан
Утемисов Шавхат Анесович,12.06.1963,Западно-Казахстанская область,м,Нур Отан
Платонов Артур Станиславович,11.09.1974,Алма-Ата,м,Нур Отан
Пшембаев Мейрам Кудайбергенович,29.10.1959,Павлодарская область,м,Нур Отан
Сабильянов Нуртай Салихулы,01.05.1962,Семипалатинская область,ж,Нур Отан
Сапарова Алия Суиндиковна,12.09.1984,Костанайская область,ж,Нур Отан
Симонов Сергей Анатольевич,01.02.1983,Актюбинская область,м,Нур Отан
Сейдуманов Серик Турарович,15.02.1957,Алма-Ата,м,Нур Отан
Скляр Роман Васильевич,08.05.1971,Павлодарская область,м,Нур Отан
Смагулов Бахытбек Смагулович,06.02.1960,Кызылординская область,м,Нур Отан
Смагулов Асылбек Айжарикович,28.04.1971,Актюбинская область,м,Нур Отан
Суслов Александр Васильевич,18.01.1960,Алтайский край(РФ),м,Нур Отан
Султанов Куаныш Султанович,12.05.1945,Алматинская область,м,Нур Отан
Тасбулатов Абай Болюкпаевич,21.09.1951,Северо-Казахстанская область,м,Нур Отан
Темиржанов Мурат Баритович,18.08.1977,Акмолинская область,м,Нур Отан
Тлеухан Бекболат Канаевич,07.08.1966,Карагандинская область,м,Нур Отан
Тиникеев Мухтар Бакирович,27.09.1963,Карагандинская область,м,Нур Отан
"Унжакова, Ирина Сергеевна",21.02.1964,Иркутская область(Россия),ж,Нур Отан
Умбетов Серик Абикенович,19.06.1950,Алматинская область,м,Нур Отан
Хаменова Бакытгуль Кайржановна,09.04.1981,Атырауская область,ж,Нур Отан
Хитуов Тарас Кикбаевич,04.02.1964,Мангистауская область,м,Нур Отан
Чирков Михаил Владимирович,07.09.1954,Красноярский край (РФ),м,Нур Отан
